ID,REGION,SUBREGION,COUNTRY,LOCATION,LAT,LON,REEF_SYSTEM,REEF_TYPE,REEF_NAME,WATER_DEPTH,ISLAND_NAME,PROTECTED,TOURISM,COUNTRY_CODE
6193,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.83333,148.9,Great Barrier Reef,,Rabbit Island Reef,,,1,0,AUS
6194,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.84167,148.925,Great Barrier Reef,,Fish Reef,,,1,0,AUS
6195,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.86667,148.94167,Great Barrier Reef,,Mausoleum Island Reef,,,1,0,AUS
6196,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.85,148.91667,Great Barrier Reef,,Newry Island Reef,,,1,0,AUS
6197,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.875,148.95833,Great Barrier Reef,,Redcliffe Islands Reef,,,1,0,AUS
6198,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.26667,148.69167,Great Barrier Reef,,Pigeon Islet Reef,,,1,0,AUS
6199,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.66167,148.94167,Great Barrier Reef,,Bennett Rock,,,1,0,AUS
6200,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.1,148.36667,Great Barrier Reef,,Edgecombe Reef,,,1,0,AUS
6201,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.05,148.58333,Great Barrier Reef,,East of  Gloucester,,,1,0,AUS
6202,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.16667,148.575,Great Barrier Reef,,Earlando Bay,,,1,0,AUS
6203,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.16667,148.71667,Great Barrier Reef,,Pioneer Bay,,,1,0,AUS
6204,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.2,148.65,Great Barrier Reef,,Woodwark Bay,,,1,0,AUS
6205,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.08333,148.95,Great Barrier Reef,,East of Hook Island,,,1,0,AUS
6206,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.1,148.96667,Great Barrier Reef,,East of Hook Island,,,1,0,AUS
6207,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.21667,148.85,Great Barrier Reef,,ARD Molle Islands ( Reef 20707 ),,,1,0,AUS
6208,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.2,148.95,Great Barrier Reef,,West of Whit'day Island,,,1,0,AUS
6209,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.28333,148.81667,Great Barrier Reef,,Inside Molle Passage,,,1,0,AUS
6210,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.31667,148.86667,Great Barrier Reef,,East of Long Island,,,1,0,AUS
6211,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.43333,148.86667,Great Barrier Reef,,South of Long Island,,,1,0,AUS
6212,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.48333,148.9,Great Barrier Reef,,Genesta Bay,,,1,0,AUS
6213,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.5,148.98333,Great Barrier Reef,,ARD Cape Conway ( Reef 20715 ),,,1,0,AUS
6214,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.55,148.71667,Great Barrier Reef,,West Repulse Bay,,,1,0,AUS
6215,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.55,148.86667,Great Barrier Reef,,East of Repulse Bay,,,1,0,AUS
6216,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.00833,148.26667,Great Barrier Reef,,Reef 20001,,,1,0,AUS
6217,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.06667,148.275,Great Barrier Reef,,Reef 20005,,,1,0,AUS
6218,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.025,148.625,Great Barrier Reef,,Reef 20013,,,1,0,AUS
6219,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.09167,148.53333,Great Barrier Reef,,Reef 20016A,,,1,0,AUS
6220,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.09167,148.525,Great Barrier Reef,,Reef 20016B,,,1,0,AUS
6221,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.10833,148.66667,Great Barrier Reef,,Reef 20023,,,1,0,AUS
6222,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.11667,148.55833,Great Barrier Reef,,Reef 20025A,,,1,0,AUS
6223,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.13333,148.575,Great Barrier Reef,,Reef 20025B,,,1,0,AUS
6224,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.13333,148.60833,Great Barrier Reef,,Reef 20027,,,1,0,AUS
6225,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.25,148.73333,Great Barrier Reef,,Reef 20038,,,1,0,AUS
6226,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.28333,148.79167,Great Barrier Reef,,Reef 20046,,,1,0,AUS
6227,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.31667,148.8,Great Barrier Reef,,Reef 20052,,,1,0,AUS
6228,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.375,148.96667,Great Barrier Reef,,Reef 20059,,,1,0,AUS
6229,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.375,148.83333,Great Barrier Reef,,Reef 20062,,,1,0,AUS
6230,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.525,148.925,Great Barrier Reef,,Reef 20205,,,1,0,AUS
6231,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.625,148.725,Great Barrier Reef,,Reef 20211,,,1,0,AUS
6232,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.65,148.73333,Great Barrier Reef,,Reef 20212,,,1,0,AUS
6233,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.7,148.74167,Great Barrier Reef,,Reef 20215,,,1,0,AUS
6234,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.73333,148.775,Great Barrier Reef,,Reef 20216,,,1,0,AUS
6235,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.75,148.79167,Great Barrier Reef,,Reef 20217,,,1,0,AUS
6236,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.76667,148.79167,Great Barrier Reef,,Reef 20218,,,1,0,AUS
6237,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.89167,148.99167,Great Barrier Reef,,Reef 20230,,,1,0,AUS
4085,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.26667,148.98333,Great Barrier Reef,,Whitsunday Islands,,Whitsunday Islands,1,1,AUS
6113,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.06667,148.96667,Great Barrier Reef,,Double Rock Reef ( Reef 20018 ),,,1,0,AUS
6114,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.09167,148.875,Great Barrier Reef,,Langford and Bird Islands Reef,,,1,0,AUS
6115,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.1,148.60833,Great Barrier Reef,,Gumbrell Island Reef,,,1,0,AUS
6100,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.025,148.275,Great Barrier Reef,,North Head Reef,,,1,0,AUS
6101,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.05833,148.46667,Great Barrier Reef,,Gloucester Island Reef,,,1,0,AUS
4082,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.11667,149.15,Great Barrier Reef,Fringing,Mackay,,Australia,1,1,AUS
6608,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.05833,149.3,Great Barrier Reef,,Oom Shoal,,,1,0,AUS
6609,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.09167,149.24167,Great Barrier Reef,,Slade Rock Reef,,,1,0,AUS
6610,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.1,149.24667,Great Barrier Reef,,Slade Islet Reef,,,1,0,AUS
6611,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.15,149.29167,Great Barrier Reef,,Downward Patches,,,1,0,AUS
6612,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.13333,149.24167,Great Barrier Reef,,Dangerous Reef,,,1,0,AUS
6613,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.15833,149.24167,Great Barrier Reef,,Flat Top Island Reef,,,1,0,AUS
6614,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.16667,149.27,Great Barrier Reef,,Taroba Rock Reef,,,1,0,AUS
6615,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.175,149.26667,Great Barrier Reef,,Round Top Island Reef,,,1,0,AUS
6616,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.18333,149.21667,Great Barrier Reef,,Oyster Rock Reef,,,1,0,AUS
6617,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.26667,149.26667,Great Barrier Reef,,Reef 21012,,,1,0,AUS
6618,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.275,149.28333,Great Barrier Reef,,Hay Reef,,,1,0,AUS
6619,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.29167,149.305,Great Barrier Reef,,Highwater Islet Reef,,,1,0,AUS
6620,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.325,149.325,Great Barrier Reef,,Victor Islet Reef,,,1,0,AUS
6621,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.375,149.31667,Great Barrier Reef,,Coral Point Reef,,,1,0,AUS
6622,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.39167,149.31667,Great Barrier Reef,,Leeper Reef,,,1,0,AUS
6623,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.43,149.33833,Great Barrier Reef,,Freshwater Point Reef,,,1,0,AUS
6624,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.425,149.49167,Great Barrier Reef,,Cullen Islet Reef,,,1,0,AUS
6625,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.45,149.45833,Great Barrier Reef,,Irving Islet Reef,,,1,0,AUS
6626,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.46667,149.49167,Great Barrier Reef,,Phillips Reef,,,1,0,AUS
6627,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.5,149.395,Great Barrier Reef,,Glendaver Point Reef,,,1,0,AUS
6628,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.01667,149.9,Great Barrier Reef,,Penrith Island Reef,,,1,0,AUS
6629,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.03333,149.55,Great Barrier Reef,,Bailey Islet Reef ( Reef 21026 ),,,1,0,AUS
6630,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.1,149.93333,Great Barrier Reef,,Snare Peak Islet Reef,,,1,0,AUS
6631,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.10833,149.96167,Great Barrier Reef,,Snare Rocks Reef,,,1,0,AUS
6632,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.275,149.63,Great Barrier Reef,,Overfall Rock Reef,,,1,0,AUS
6633,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.30333,149.64167,Great Barrier Reef,,South Overfall Rock Reef,,,1,0,AUS
6634,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.33333,149.69167,Great Barrier Reef,,Prudhoe Island Reef,,,1,0,AUS
6635,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.325,149.66667,Great Barrier Reef,,Prudhoe Shoal,,,1,0,AUS
6636,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.37,149.65833,Great Barrier Reef,,Reid Islet Reef,,,1,0,AUS
6637,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.36667,149.825,Great Barrier Reef,,Double Island Reef ( Reef 21034 ),,,1,0,AUS
6638,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.39167,149.8,Great Barrier Reef,,Lloyd Shoal,,,1,0,AUS
6639,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.41667,149.56667,Great Barrier Reef,,Viscount Shoal A ( Reef 21036A ),,,1,0,AUS
6640,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.41667,149.6,Great Barrier Reef,,Viscount Shoal B ( Reef 21036B ),,,1,0,AUS
6641,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.475,149.59167,Great Barrier Reef,,Viscount Shoal C ( Reef 21036C ),,,1,0,AUS
6642,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.43333,149.81667,Great Barrier Reef,,Renou Islet Reef,,,1,0,AUS
6643,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.43333,149.81167,Great Barrier Reef,,Jack Reef,,,1,0,AUS
6644,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.45,149.70833,Great Barrier Reef,,Knight Island Reef,,,1,0,AUS
6645,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.44167,149.83333,Great Barrier Reef,,Minister Island Reef,,,1,0,AUS
6646,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.46667,149.7,Great Barrier Reef,,Festing Shoal,,,1,0,AUS
6647,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.46333,149.71667,Great Barrier Reef,,Charles Rock Reef,,,1,0,AUS
6648,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.46667,149.825,Great Barrier Reef,,Beaver Shoal,,,1,0,AUS
6649,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.45833,149.86667,Great Barrier Reef,,Beverlac Island Reef,,,1,0,AUS
6650,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.46667,149.88333,Great Barrier Reef,,Hull Island Reef,,,1,0,AUS
6651,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.475,149.65833,Great Barrier Reef,,Elamang Island Reef,,,1,0,AUS
6652,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.475,149.91667,Great Barrier Reef,,Still Islet Reef,,,1,0,AUS
6653,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.48333,149.91167,Great Barrier Reef,,Henderson Island Reef,,,1,0,AUS
6654,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.48333,149.91667,Great Barrier Reef,,Keelan Island Reef,,,1,0,AUS
6655,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.49167,149.88333,Great Barrier Reef,,Noel Island Reef,,,1,0,AUS
6656,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.49167,149.93333,Great Barrier Reef,,Penn Islet Reef,,,1,0,AUS
6657,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.5,149.90833,Great Barrier Reef,,Digby Island Reef,,,1,0,AUS
6658,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.60833,149.48333,Great Barrier Reef,,Temple Island Reef,,,1,0,AUS
6659,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.66667,149.47167,Great Barrier Reef,,Marion Rock Reef,,,1,0,AUS
6660,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.83333,149.48333,Great Barrier Reef,,West Hill Island Reef,,,1,0,AUS
6661,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.50833,149.775,Great Barrier Reef,,Ferdinand Shoal,,,1,0,AUS
6662,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.51667,149.72,Great Barrier Reef,,Waratah Island Reef,,,1,0,AUS
6663,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.51667,149.71667,Great Barrier Reef,,Waratah Shoal,,,1,0,AUS
6664,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.525,149.80833,Great Barrier Reef,,Tupper Shoal,,,1,0,AUS
6665,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.55833,149.81667,Great Barrier Reef,,Henani Rock Reef,,,1,0,AUS
6666,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.59167,149.65,Great Barrier Reef,,Yaralla Shoal,,,1,0,AUS
6667,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.57167,149.805,Great Barrier Reef,,Fairfax Rock Reef,,,1,0,AUS
6668,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.575,149.825,Great Barrier Reef,,Harry Shoal A,,,1,0,AUS
6669,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.58333,149.81667,Great Barrier Reef,,Harry Shoal B,,,1,0,AUS
6670,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.575,149.81667,Great Barrier Reef,,Hirst Islet Reef,,,1,0,AUS
6671,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.59167,149.875,Great Barrier Reef,,Kilgour Shoal,,,1,0,AUS
6672,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.6,149.76667,Great Barrier Reef,,Wallace Islet Reef,,,1,0,AUS
6673,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.575,149.80833,Great Barrier Reef,,Tinonee Bank,,,1,0,AUS
6674,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.59167,149.83333,Great Barrier Reef,,Planter Shoal,,,1,0,AUS
6675,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.6,149.86667,Great Barrier Reef,,Bluff Islet Reef,,,1,0,AUS
6676,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.60333,149.76667,Great Barrier Reef,,Pearl Rock Reef,,,1,0,AUS
6677,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.6,149.825,Great Barrier Reef,,Treble Islet Reef,,,1,0,AUS
6678,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.6,149.78333,Great Barrier Reef,,Curlew Island Reef,,,1,0,AUS
6679,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.60833,149.75833,Great Barrier Reef,,Pearl Shoal,,,1,0,AUS
6680,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.625,149.79167,Great Barrier Reef,,Slattery Shoal,,,1,0,AUS
6681,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.625,149.80833,Great Barrier Reef,,Dinner Islet Reef,,,1,0,AUS
6682,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.6,149.5,Great Barrier Reef,,Temple Islets Reef,,,1,0,AUS
6683,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.65,149.66667,Great Barrier Reef,,Edwards Shoal,,,1,0,AUS
6684,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.65833,149.825,Great Barrier Reef,,Tinonee Peak Island Reef,,,1,0,AUS
6685,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.68333,149.78333,Great Barrier Reef,,Marsh Reef,,,1,0,AUS
6686,Australia,Australia and Papua New Guinea,Australia,Queensland,-21.67167,149.63333,Great Barrier Reef,,Billy Rock Reef,,,1,0,AUS
